member_id,loan_amount,term,grade,home_ownership,annual_income,verification_status,int_rate,dti,application_type,tot_cur_bal,loan_status
58189336,14350,36,5,1,28700,1,19.19,33.88,1,28699,0
70011223,4800,36,1,3,65000,1,10.99,3.64,1,9974,0
70255675,10000,36,1,1,45000,0,7.26,18.42,1,38295,0
1893936,15000,36,4,2,105000,0,19.72,14.97,1,55564,0
7652106,16000,36,1,2,52000,1,10.64,20.16,1,47159,0
10247268,15000,36,1,3,120000,0,8.90,12.30,1,350619,0
8089625,5000,36,1,2,75000,1,7.90,5.70,1,13272,1
23043116,6000,36,1,3,54000,0,9.17,11.63,1,272579,0
45900933,6000,36,3,3,92000,0,13.99,30.85,1,281521,0
41272507,34550,60,4,3,72000,1,17.14,33.92,1,76034,0
56621560,25000,36,3,1,135000,1,13.33,14.20,1,72193,0
4221941,15000,36,4,2,76000,1,18.49,15.86,1,39152,1
43387539,18000,36,1,3,62000,0,6.99,18.58,1,194011,0
23001903,9000,36,1,3,145000,0,6.03,15.42,1,165164,0
13670372,8800,36,3,2,80000,0,13.65,13.98,1,39634,1
49874851,8000,36,4,2,50000,1,15.61,27.39,1,48488,0
9878144,18450,60,5,2,69000,1,21.70,24.28,1,71191,0
12866989,30750,36,4,3,70000,1,16.99,29.13,1,221335,0
58568833,9000,36,1,2,60000,1,9.99,19.70,1,34538,0
62725253,24000,36,1,2,130000,1,10.99,23.22,1,125903,0
66791957,20000,60,4,2,96000,0,17.86,18.31,1,66738,0
1699807,12400,36,1,1,40000,0,6.62,20.31,1,,0
54486146,4200,36,4,3,46000,0,17.57,31.25,1,282808,0
41408977,10500,36,3,1,60000,1,13.66,13.82,1,71697,1
63047232,16000,36,1,2,65000,1,7.89,21.54,1,147448,0
22741274,23800,60,4,3,70000,1,15.61,21.93,1,327930,0
17563299,7200,36,3,1,37000,1,12.99,13.43,1,8589,1
10317534,19200,36,1,3,250000,1,6.62,25.86,1,447388,1
50609137,15000,36,1,3,90000,1,6.92,29.68,1,114298,0
70008968,4000,36,4,3,20000,1,17.57,30.79,1,31445,0
62465075,30000,60,1,3,180000,1,9.99,14.63,1,391749,0
15319948,35000,60,4,3,480000,1,16.59,13.05,1,1385358,0
66482134,6000,36,3,2,40000,1,12.69,13.11,1,68057,0
69834413,20000,36,1,2,50000,1,8.18,3.07,1,6485,0
69859111,12600,60,1,2,76600,0,10.99,7.19,1,23697,0
51096102,10000,60,5,3,29500,1,19.52,6.59,1,4890,0
31177698,5000,36,3,2,19000,1,13.98,13.90,1,5422,0
72929339,10000,60,3,3,45000,0,14.85,26.76,1,176391,0
64856289,10000,60,5,3,27000,1,18.55,14.13,1,10707,0
46875834,33150,60,5,3,70000,1,20.49,32.61,1,141797,0
46475985,5500,36,3,1,25000,1,12.29,11.91,1,53454,0
40524311,28000,36,1,3,84000,1,8.19,12.73,1,229995,0
40996048,12600,36,4,1,35000,1,16.49,22.38,1,13054,0
34160308,10000,36,1,3,98000,0,8.39,3.09,1,42542,1
5607481,17900,36,4,3,114500,1,18.75,23.11,1,624417,1
53281867,4850,36,4,3,53000,1,16.99,26.49,1,38829,0
66959476,10725,36,3,1,28200,0,12.29,38.43,1,28163,0
1561871,20000,36,1,2,168000,1,13.67,22.32,1,,0
16592115,10000,36,1,3,125000,0,10.99,18.05,1,421664,1
49704338,6400,36,3,1,42000,1,12.69,37.21,1,71646,1
1732493,4950,60,3,3,24000,1,16.29,16.82,1,8312,0
1718233,12000,36,1,3,128000,1,6.03,10.85,1,311014,1
52145013,20000,36,3,1,160000,1,12.69,4.10,1,234697,0
61594927,7275,36,1,3,130000,0,7.26,16.63,1,290962,0
67069572,20200,36,1,3,59000,0,9.17,21.84,1,195008,0
14481374,16800,60,6,2,86000,1,24.08,6.57,1,13166,0
56742106,35000,60,4,3,78500,1,15.61,11.48,1,34752,0
59611678,6000,36,3,3,70000,1,13.33,9.02,1,359326,0
37396374,10700,60,3,3,32100,0,14.31,27.29,1,137019,0
66382791,25000,60,1,3,95000,0,7.89,12.98,1,235231,0
10350023,12800,36,1,1,150000,1,12.99,12.63,1,161107,0
36434927,28000,36,1,3,125000,1,8.67,30.44,1,316510,0
63110232,17000,36,1,2,110000,0,9.99,13.60,1,22198,0
6048478,15000,36,1,3,60000,1,11.14,20.08,1,272177,1
50976064,20000,60,3,1,65000,1,13.99,11.71,1,124248,0
10557234,24000,60,4,3,128000,1,17.76,16.33,1,442155,1
1665246,16000,36,1,3,75000,1,6.03,4.83,1,,1
1604702,35000,36,4,3,140000,1,19.72,30.35,1,,1
33740183,30000,60,4,3,99500,1,17.57,27.90,1,447154,0
38670667,19200,60,4,3,65000,1,17.86,16.36,1,46867,1
9897643,5375,36,3,2,25000,1,15.61,33.57,1,28862,0
13688307,25250,36,3,3,72000,1,14.64,12.80,1,250586,1
72268079,7200,36,3,2,39750,1,14.48,19.66,1,58396,0
48392080,18000,60,3,3,90000,1,14.65,14.80,1,223151,0
1605934,1000,36,1,2,40000,1,12.12,31.77,1,,1
42183408,14450,36,4,3,40000,0,17.86,24.96,1,103681,0
51834982,18225,36,4,1,48000,0,16.55,6.98,1,123905,0
72539472,20000,36,3,3,84000,0,13.18,25.81,1,405177,0
61626318,12000,36,1,1,55000,1,10.99,27.30,1,77893,0
1908703,25000,60,6,2,65000,1,23.83,12.42,1,22459,1
57896812,5000,36,3,3,77000,1,12.69,14.50,1,174517,0
11037470,17000,36,1,3,88300,1,6.03,11.05,1,244772,0
32547839,28000,36,3,2,62400,1,12.99,12.58,1,23784,0
59681056,20000,36,3,3,90000,1,14.65,11.20,1,28233,0
24675779,20000,36,1,2,103320,1,11.67,15.17,1,27435,0
55176132,12500,60,4,3,75000,1,17.86,12.14,1,275755,0
49902505,4200,36,5,3,43000,0,18.84,24.37,1,142744,0
53121843,16100,60,5,1,35000,1,19.99,30.86,1,37237,0
52731903,15450,36,3,2,33600,1,13.33,38.90,1,15017,0
1791082,20000,60,3,3,87600,1,14.33,18.08,1,408391,0
68379373,24000,60,5,3,70000,1,18.20,31.80,1,106591,0
12438167,17000,60,5,2,54000,1,23.40,18.89,1,35398,1
15349020,1500,36,3,2,40000,1,14.64,15.54,1,24895,0
690194,8000,36,1,2,50004,1,10.38,23.88,1,,0
65657401,25000,60,1,3,60000,0,9.99,29.91,1,68650,0
44797081,12000,36,1,1,52000,0,10.99,12.83,1,239603,0
43345435,17500,36,4,3,88000,0,15.99,11.56,1,605585,0
60870211,11000,36,1,3,33000,1,7.89,11.45,1,139788,0
41056694,35000,36,3,3,1.00E+05,1,14.99,10.29,1,41237,0
17864494,25000,60,3,3,56000,1,13.35,28.44,1,186934,0
58651642,6000,36,3,1,75000,0,12.29,16.70,1,78372,0
55096072,13200,60,5,1,26400,1,19.99,28.18,1,43807,0
43499970,20000,36,4,2,70000,1,15.61,29.64,1,35449,0
1833376,15000,60,1,3,67000,1,7.90,9.90,1,245928,1
15158671,5950,36,4,2,30000,1,18.25,15.48,1,9943,0
4596617,16000,36,1,3,55000,0,7.90,15.61,1,158699,0
43264838,15000,60,3,3,80000,0,12.39,13.49,1,254138,0
72868375,35000,36,1,3,180000,1,7.89,21.95,1,261143,0
34100517,18000,60,1,3,70000,1,8.19,19.58,1,46625,0
55346919,28200,60,6,3,108000,1,24.99,16.78,1,220405,1
62774920,7000,36,1,2,70000,1,10.99,16.56,1,12172,0
61455690,13000,36,1,2,80000,1,10.99,26.62,1,61294,0
58641762,23000,36,1,1,50000,1,10.99,20.95,1,31225,0
72059011,4950,36,5,2,178000,1,18.49,7.54,1,38746,0
52105020,7200,36,4,3,60000,1,15.61,21.62,1,40749,0
15119593,17000,60,3,3,58000,0,14.99,21.06,1,301791,0
58469858,20000,60,5,3,75000,1,19.19,19.12,1,263725,0
64223684,5050,36,3,2,190000,1,12.69,22.30,1,357941,0
49212973,35000,60,6,3,87040,1,22.99,16.13,1,212529,0
38942197,15000,60,4,3,85000,1,15.99,10.38,1,32825,0
7196060,10225,36,1,3,31200,0,10.16,10.00,1,111460,0
60877104,18000,36,1,2,39000,1,9.99,9.32,1,10163,0
66831871,28000,36,1,3,72000,1,5.32,16.10,1,381787,0
1379776,5700,60,5,2,50000,1,19.42,8.90,1,,1
15148247,13000,36,1,3,130000,0,6.62,23.37,1,618061,0
44015895,24000,60,3,1,61000,1,13.33,34.51,1,58182,0
37386430,7200,36,1,2,35000,1,11.99,17.22,1,23744,0
3863395,20000,36,1,3,50000,1,13.11,19.63,1,105315,0
61824645,5000,36,1,2,70000,1,9.99,20.58,1,31458,0
53876533,16850,36,1,1,44200,0,10.99,20.93,1,14203,0
1406917,10000,36,1,2,72000,1,13.11,5.17,1,,1
41782049,13000,60,3,2,42000,1,12.39,10.49,1,8328,0
44183243,7000,36,1,2,75735.12,1,7.89,17.70,1,24353,0
60254094,18000,60,1,3,113000,0,9.17,15.89,1,697738,0
42363831,25000,60,5,3,130000,1,20.99,7.43,1,31254,1
3117211,10000,36,1,3,90000,1,13.11,12.49,1,324254,0
35974815,21600,36,1,3,95000,1,11.44,25.24,1,253332,1
45351212,30000,60,3,3,140000,0,12.69,15.83,1,66287,0
26297209,26125,60,3,3,57000,1,13.98,23.85,1,34248,0
49979978,7000,36,1,2,42640,0,7.89,18.54,1,15736,0
31217963,8000,36,4,1,33072,1,17.57,32.47,1,32296,0
6717229,20000,36,1,2,65000,1,11.14,11.58,1,31773,0
44337008,16000,36,3,3,97000,0,12.29,9.08,1,491917,0
8617609,8000,36,3,3,68750,0,16.78,22.97,1,127882,1
64517866,2800,36,4,2,56000,1,16.99,21.62,1,27519,0
46726889,11625,36,4,3,58000,1,16.55,20.46,1,128115,0
28672486,12950,36,4,3,166000,1,17.57,16.27,1,336159,0
15061036,24000,60,4,3,110000,1,18.25,11.96,1,303569,0
58993845,19675,60,1,3,74000,0,9.17,22.20,1,137534,0
39003126,35000,36,3,3,104000,1,14.31,17.13,1,132687,0
532287,18000,36,6,2,80000,0,18.78,15.60,1,,1
19595519,5275,36,1,2,36000,0,10.99,18.53,1,57534,0
1355282,15000,36,3,2,75000,1,13.49,8.75,1,,1
8127741,8000,36,4,2,30000,1,18.85,22.40,1,29284,1
15710223,35000,60,5,2,90000,1,21.99,17.14,1,49328,0
59620231,15000,36,4,2,78402.16,1,15.61,24.60,1,43998,0
51884624,12000,36,1,3,45000,0,8.18,20.59,1,18955,0
43163125,7000,36,1,2,33000,1,6.03,6.55,1,4161,1
7947406,19200,36,1,3,50000,1,10.64,24.84,1,44318,1
9889290,9750,36,1,2,30000,0,12.99,20.20,1,9687,0
23052420,12000,60,3,3,57000,1,14.49,26.59,1,217361,1
64876377,20000,60,3,2,125000,1,13.33,19.77,1,51448,0
33509596,30000,36,1,3,150000,1,10.15,7.71,1,15567,0
45330307,11950,60,5,3,29900,1,21.67,15.42,1,11346,0
42384204,10000,36,1,1,45000,1,6.03,3.61,1,76398,0
1831477,12000,36,4,2,106000,1,18.49,20.51,1,41374,1
